ID,Video Link,Product Name,Title,Rating,Associated Review Text,Gender,Age-Group,Sarcasm,Emotion,Our Label
B0DBJ4SZHW,https://www.amazon.in/gp/customer-reviews/R1PJ2DID9TFC5Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DBJ4SZHW,"JICOOT Fabric Shaver, Electric Lint Remover, USB Rechargeable Fabric Defuzzer, Reusable Cordless Sweater Shaver can be Used Anywhere, Bobling Remover for Clothes, Wool Pilling Lint Remover.",Very very poor item,1,जिस काम के लिए मंगवाई वो ही नही कर रही plz इसे वापिस ले मुझे ये आइटम बिलकुल भी नही चाहिये,Male,Middle Aged,No Sarcasm ,Dissatisfied,"JICOOT Fabric Shaver, jo ek wool lint remover ke liye advertise kiya gaya tha, is video mein sweater par use kiya ja raha hai. Lekin yeh product apne promise ke hisaab se kaam nahi karta, koi lint ya bobbles hata nahi raha. Lagta hai yeh apne kaam mein effective nahi hai."
,,,,,,,,,,
B0CSFP59JG,https://www.amazon.in/gp/customer-reviews/R33UVEUVPFZETW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CSFP59JG,"Wipro Elato BS202 1000 Watt Ceramic Grill Sandwich Maker, Scratch Resistant, 180° Open Sandwich Griller, Auto Cutoff, Non Toxic BPA, PTFE & PFOA Free, 2 Year Warranty, Regular Bread Size for 2 Slices",Delivered product is broken,1,"Product is useless for me, मैं इसके लिए रिफंड रिक्वेस्ट करने वाला हूँ।",Male,Middle Aged,No Sarcasm ,Dissatisfied, 
B07FKN76ZS,https://www.amazon.com/gp/customer-reviews/R31UW2LRMAPICE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07FKN76ZS,"COSORI Speed-Boil Electric Tea Kettle, 1.7L Hot Water Kettle (BPA Free) 1500W Auto Shut-Off & Boil-Dry Protection, LED Indicator Inner Lid & Bottom, Transparent",It doesn't close anymore after a few months of use,1,"I got this kettle 4 months back and it did the work okayishly. कभी-कभी ये सही से काम करता था, और कभी-कभी नहीं। कभी ये लंबे समय तक उबालता रहता, और कभी बिल्कुल सही समय पर रुक जाता था। The thing seemed slightly finicky but in the end, it always got my water boiling for me to make cups of tea.  

लेकिन अब, अचानक ऐसा हुआ कि केतली बंद ही नहीं हो रही है। मुझे नहीं पता क्या खराब हुआ है, मैंने इसे किसी तरह से छेड़ा भी नहीं। पानी डालने और निकालने के अलावा मैंने कुछ नहीं किया। But now since the top won't close, it seems like it doesn't detect the proper pressure/temperature to turn off automatically like it used to do. और अब जब ढक्कन खुला रहता है, तो ये तब तक उबालता रहता है जब तक सारा पानी भाप बनकर उड़ न जाए।  

यह बहुत ही निराशाजनक है। मैंने सोचा था कि यह केतली लंबे समय तक चलेगी। I’m assuming something happened to the locking mechanism, but I don’t know what. कुछ भी टूटा हुआ नहीं दिखता। बस अब ये ढक्कन ठीक से बंद नहीं हो रहा है।",Male,Middle Aged,No Sarcasm ,Dissatisfied,"Video mein COSORI Speed-Boil Electric Tea Kettle ko har taraf se dikhaya gaya hai, aur insaan batata hai ki woh 4 mahine se use kar rahe hain. Jalti nazar aata hai ki yeh shandar dikhayi to deta hai, lekin jab lid band karne ki koshish ki jati hai, toh wo properly band nahi hoti, jo ek functional defect ka darust karta hai."
B09XS7JWHH,https://www.amazon.com/gp/customer-reviews/R2Z5AHXM1V6XN1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,"Sony WH-1000XM5 The Best Wireless Noise Canceling Headphones, Made Of Soft Fit Synthetic Leather, Integrated Processor V1, With 4 Beamforming Microphones, Up To 30-Hour Battery Life, Black",Be cautious when ordering these !,1,"Couldn’t wait all day to get these headphones. जब ये आखिरकार पहुंचे तो ये बॉक्स में नहीं थे !! बस टेप से लिपटे हुए थे !! इन पर उंगलियों के निशान थे ! Clearly they were returned and sent out! बहुत ही गंदा और घटिया!  

I am appalled 😳! ये वापस जा रहे हैं !! Sony और Amazon के लिए ये कितनी बड़ी शर्मिंदगी है! 😡",Male ,Middle Aged,No Sarcasm ,Angry,"Video mein user apne dissatisfaction ka izhaar karta hai, kuch masail batata hai: product par har taraf fingerprints dikhayi dete hain, packaging kaafi kharab thi, koi protective plastic cover nahi tha, aur jo box aya tha woh bhi ganda aur bekaar tha."
B0CLF3VPMV,https://www.amazon.com/gp/customer-reviews/R1P00I9M22FWJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CLF3VPMV,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",A good way to loose your money,1,"I mean, बाजार में बहुत सारे टैबलेट हैं और मैंने इसे चुना क्योंकि Samsung का माना जाता है कि ये अच्छा टैबलेट है। But I have used it like 5 times since I bought it and अब स्क्रीन ने काम करना बंद कर दिया है।  

I’m really disappointed क्योंकि मैं दूसरे देश में रहता हूं और इसे वापस करने का कोई तरीका नहीं है। This piece of … ने मुझे पूरी तरह से निराश किया है।",Male,Middle Aged,No Sarcasm ,Dissatisfied,"Video mein Samsung Galaxy Tab A9+ Tablet dikhaya gaya hai jahan user ek serious issue dikhata hai. Jab tablet use karne ki koshish ki ja rahi hoti hai, to screen properly display nahi hoti, sirf ek blurry white screen dikhayi deti hai, jab ke charge hone ke baad bhi. Yeh lagta hai ki koi hardware ya display defect hai."
B078WMLXXG,https://www.amazon.com/gp/customer-reviews/RMRCO6HQZINM8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B078WMLXXG,Breville Barista Touch BES880BSS Espresso Machine,Just opened it. Says the hopper is unlocked. It isn’t.,1,"I literally just got this in the mail and was excited to try it out. लेकिन यह लगातार दिखा रहा है कि हॉपर अनलॉक्ड है और नॉब को लॉक करने के लिए घुमाने को कह रहा है।  

But every time I do this, it never says the hopper is locked. मशीन में कुछ गड़बड़ होनी चाहिए क्योंकि यह हॉपर को लॉक होने का पता ही नहीं लगा पा रहा है। इस वजह से मैं एस्प्रेसो ग्राइंड भी नहीं कर पा रहा हूँ।",Male,Middle Aged,No Sarcasm ,Dissatisfied,"Video mein Breville Barista Touch BES880BSS Espresso Machine dikhayi ja rahi hai, jahan user hopper mein mushkil dikhata hai. Bahut bar knob twist karne ke bawajood, hopper ko upar se lock karne par bhi, LED screen hamesha bataata hai ki hopper unlock hi hai, jo ek mechanical ya sensor defect ko darust karta hai."
B09B7SB46R,https://www.amazon.com/gp/customer-reviews/RKXGQBOGK8LTY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09B7SB46R,"Emeril Lagasse 26 QT Extra Large Air Fryer, Convection Toaster Oven with French Doors, Stainless Steel",Terrible luck,1,"Mine came basically defective. हमने इसे केवल एक बार 12 मिनट का ""क्लीनिंग"" साइकिल चलाने के लिए इस्तेमाल किया था, जैसा कि सुझाव दिया गया था। But now tonight, after getting some snacks, it will not work at all.  

यह सिर्फ बीप करता है और हमें E6 एरर दिखाता है। रिसर्च करने पर (जो मैन्युअल में नहीं लिखा है) पता चला कि ये प्रॉब्लम शायद प्रॉब से जुड़ी हुई है। All we can do is unplug it and plug it back in, लेकिन यह फिर से वही करता है।  

हम इसे पसंद करना चाहते थे, इसलिए हम एक रिप्लेसमेंट मंगवाने की हिम्मत कर रहे हैं। अब हमें यह समझना है कि इसे वापस कैसे भेजें क्योंकि हमने कल ही इसका बॉक्स कचरे में डाल दिया था। *sigh* अगले वाले के बारे में अपडेट करेंगे।",Female,Mddle Aged,No Sarcasm ,Dissatisfied,"Video mein Emeril Lagasse 26 QT Extra Large Air Fryer French Doors dikhaya gaya hai, jahan user ek serious issue face karta hai. Oven chalu karne ki koshish karte waqt, LED screen par 'E6' error dikhai deta hai aur saath mein beep bhi bajta hai. Uske baad kisi bhi button press karne par koi asar nahi hota, aur error aur beep chale hi jaate hain, jo ek malfunction ko darust karta hai."
B0CCX11JT6,https://www.amazon.com/gp/customer-reviews/RQS12MQ41YBPW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CCX11JT6,"Samsung Galaxy Tab S9 FE 10.9” 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray",Deffective type-C charging port.,1,"The tablet is alright, मैंने इसे करीब 26 दिनों तक इस्तेमाल किया। अच्छी बात ये है कि मैंने 30 दिन पूरे नहीं किए, इसलिए मैं इसे रिटर्न कर सकता हूं। It was working good but कल रात मैंने इसे चार्ज पर लगाया और सुबह देखा कि बैटरी अभी भी लो है।  

मैंने अलग-अलग चार्जिंग वायर और एडॉप्टर ट्राई किए लेकिन कुछ भी काम नहीं किया। I felt disappointed, अब नहीं पता कि मैं Samsung का टैबलेट फिर से इस्तेमाल करूंगा या नहीं (हालांकि मेरे पास S21 और S23 Ultra हैं)।  

खासकर इसलिए क्योंकि मैंने इसे अपने ट्रेडिंग ऐप्स के लिए सेट किया था और अब मुझे दूसरा टैबलेट लेना पड़ेगा।",Male,Middle Aged,No Sarcasm ,Dissatisfied,"Video mein Samsung Galaxy Tab S9 FE 10.9” Tablet mein issue dikhaya gaya hai. User batata hai ki jab charging port se apne phone ko charge kiya, tab sab kuch theek tha, lekin jab usi port se tablet ko charge karne ki koshish ki, tab bilkul charge nahi hua. Yeh tablet ke charging port defect ya compatibility masle ko darust karta hai."
B073ZY6XH3,https://www.amazon.com/gp/customer-reviews/R1O7DYY25SQ9BN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B073ZY6XH3,"EASELAND Queen Size Mattress Pad Pillow Top Mattress Cover Quilted Fitted Mattress Protector Cotton Top Stretches up 8-21"" Deep Pocket Cooling Mattress Topper (60x80 inch, White)",do not buy...Very poor quality and will not stay fluffy.,1,"I was so excited about this mattress pad. इसके रिव्यूज़ इतने ज़बरदस्त थे। But after less than one month, it is completely flat. ये रात को गद्दे पर अपनी जगह पर नहीं रहता।  

जब आप अपनी पीठ के बल सोते हैं, तो नीचे सपाट फैब्रिक की सिलवटें महसूस होती हैं। All the fluffiness was gone within two weeks. यह बहुत खराब तरीके से बनाया गया है। It does not give you comfort at all; it is very flat.  

अब मुझे एक नया गद्दा कवर ढूंढना पड़ेगा। इस पर बहुत निराश हूँ। इसे रिटर्न भी नहीं कर सकता, अब इसे कचरे में फेंक दूंगा। Flat and lifeless, रातभर हिलता रहता है... BUYER BE AWARE!!!!!  

अब तक न तो निर्माता और न ही Amazon ने इसे वापस लेने के बारे में कोई जवाब दिया है। मैं डिसेबल्ड हूं और मुझे अब एक नया खरीदना पड़ेगा।",Female,,No Sarcasm ,Angry,"Video mein EASELAND Queen Size Mattress Pad dikhaya gaya hai, jahan user apne gussay ka izhaar karti hai. Wo batati hai ki mattress pad bilkul flat hai aur har taraf se fluffiness nahi hai. Usne manufacturer se madad maangne ki kai baar koshish ki, lekin koi farq nahi pada. Wo yeh bhi kehti hai ki product kharidne ka paisa barbaad ho gaya aur yeh bilkul bekaar hai."
B001ARYU58,https://www.amazon.com/gp/customer-reviews/R1YD0847B0EK0D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B001ARYU58,Bowflex SelectTech 552 Adjustable Dumbbells,Don’t recommend,1,"These dumbbells worked ok twice, लेकिन तीसरी बार एक सेलेक्टर लॉक हो गया। चौथी बार दो सेलेक्टर लॉक हो गए और उन्हें रिलीज़ करने में मुझे 30 मिनट लग गए। Fifth time तीन सेलेक्टर लॉक हो गए, और मैं किसी को भी रिलीज़ नहीं कर पाया।  

कोई भी amount of slamming, beating, sweet talking, या मूविंग और शेकिंग कुछ नहीं कर सका। After looking at other brands, मैंने देखा कि इन डंबल्स में बहुत सारे मूविंग पार्ट्स हैं, जो आसानी से खराब हो सकते हैं।  

Highly recommend Power Block या ऐसी किसी चीज़ पर ध्यान दें, जो इतनी जल्दी खराब न हो।",Male,Middle Aged,No Sarcasm ,Angry,"Video mein ek frustrated user Bowflex SelectTech 552 Adjustable Dumbbells ke masle dikhata hai. Wo weights ko base se hataane mein mushkil karta hai, jo har baar jame jaate hain. Jab udaayi ke baad weights ko hataa bhi lete hain, toh wo dono taraf se uneven hote hain. Uske alawa, ek side ka weight adjustment dial jamm ho gaya hai, jo weight change karne mein bilkul kaam nahi karta. Yeh dikhata hai ki product mein bohot saari mechanical faults hain."
B0CKFLQT7N,https://www.amazon.com/gp/customer-reviews/RWMIW72KLJ3AB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CKFLQT7N,"Legendary Whitetails Men's Journeyman Shirt Jacket, Flannel Lined Shacket for Men, Water-Resistant Coat Rugged Fall Clothing",Terrible inside quality,1,"This is my 2nd Legendary Whitetail The Journeyman shirt/jacket. पहले मैं यह कहूंगा कि मुझे जैकेट की बाहरी बनावट बहुत पसंद है। फिट और लुक बहुत अच्छे हैं, इतनी कि भले ही मुझे पहली बार में यही समस्या हुई थी, मैंने फिर भी दूसरा खरीदा।  

अब इस जैकेट के अंदर की बात करें। इन चीज़ों के लिए जो पैसे लिए जाते हैं, उससे अंदर की जेब इतनी जल्दी फटने का सचमुच में दुखद अनुभव है। मैंने इसे बहुत कम इस्तेमाल में पाया और आज मेरा 2nd जैकेट भी 6 महीने के भीतर फट गया।  

फैक्ट यह है कि उत्पाद समर्थन की कोई जानकारी नहीं है और निर्माता से संपर्क करने का कोई तरीका नहीं है, इसलिए मुझे इस समीक्षा को छोड़ने के अलावा कोई विकल्प नहीं है।  

बहुत निराशा हुई!",Male,Middle Aged,No Sarcasm ,Dissatisfied,"Video mein Legendary Whitetails Men's Journeyman Shirt Jacket dikhaya gaya hai, jahan user severe quality issues dikhata hai. Jab wo chest ki velcro pocket kholta hai, toh andar ka lining tooti jaati hai, jo ki kaafi kharab craftsmanship dikhata hai. Usne bataya ki yeh uski dusri jacket hai, kyunki pehli wali mein to yeh hi issue tha—pocket kholte hi puri pocket hi tut gayi thi."
B0CBP8CL71,https://www.amazon.com/gp/customer-reviews/RT4DCI4KBBBST/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CBP8CL71,"OLANLY Bathroom Rugs Mat 30x20, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mat for Bathroom Floor, Tub and Shower, Grey",The little sized ones ARE *SLIP HAZARDS*,1,"I have the 48"" x 24"" (roughly) sized one. It’s great and provides good no-slip grip on tile. मुझे इसे बहुत पसंद आया, इसलिए मैंने दो और 12""x24"" छोटे ones खरीदे ताकि सिंक के पास खाली जगह भर सकूं। लेकिन अब ""नो-स्लिप"" का दावा सही नहीं रहा।  

यह सब जगह फिसल गया और हमारे सभी पैरों के नीचे से निकल गया। हम सभी ने सिर फोड़ लिया। अब वही उत्पाद नहीं है। छोटे ones में ""नो-स्लिप"" के बजाय ये प्लास्टिक जैसा महसूस होता है – मैं इसके ऊपर भाग सकता हूं और स्लाइड कर सकता हूं। जो उन्होंने पहले बनाया था, अब वह नहीं है। बहुत निराश हूं।  

मुझे नहीं पता कि ""नो-स्लिप"" एक श्रेणी क्यों नहीं है जिसे मैं ऊपर वोट कर सकता हूं।",Male,Middle Aged,No sarcasm ,Dissatisfied,"Video mein OLANLY Bathroom Rug dikhaya gaya hai, jahan user ek bada safety concern dikhata hai. Apne pair se halka sa rug ko push karke, wo asani se floor par slide ho jata hai, jo iska grip nahi hone ki wajah se dikhata hai. Yeh non-slip bath mat bilkul stable nahi hai, aur yeh slip aur fall ke liye ek risk ho sakta hai"
B071WCB1T6,https://www.amazon.com/gp/customer-reviews/R2JRDJ1EJ08ZA/ref=cm_cr_srp_d_rvw_ttl?ie=UTF8&ASIN=B071WCB1T6,"TOSHIBA EM131A5C-BS Countertop Microwave Ovens 1.2 Cu Ft, 12.4"" Removable Turntable Smart Humidity Sensor 12 Auto Menus Mute Function ECO Mode Easy Clean Interior Black Color 1100W",Do Not Buy This Microwave,1,"Realistically, I have only bought maybe 2 microwaves in my 50+ वर्षों में। सभी पहले की खरीदारी मध्यम कीमत की रेंज में थी और प्रत्येक ने 10 साल से अधिक का समय बिताया। सामान्य तौर पर, माइक्रोवेव तकनीक बहुत अच्छी है, और आपको बहुत कम समस्याएं आती हैं… जब तक कि मैंने यह Toshiba नहीं खरीदा।  

जब यह आया, तो पैकेजिंग को कोई क्षति नहीं लगी थी, और पुनर्निर्माण के कारण इसे कनेक्ट करने में 2 सप्ताह लग गए। चूंकि हमारे पास एक छोटी जगह है, इसलिए हमें कोई समस्या नहीं होने की उम्मीद थी, इसलिए हमने इसे कनेक्ट किया और बॉक्स फेंक दिया।  

माइक्रोवेव ने लगभग 5 बार ठीक से काम किया, फिर अचानक से एक जोर से, चिंताजनक शोर करने लगा (वीडियो देखें)। हमने त्रुटि निवारण के लिए निर्देशों का पालन किया, जिसमें कहा गया था कि ट्रे बाहर आ गई है, इसलिए मैंने ट्रे को फिर से ठीक कर दिया। यह 3 बार और काम किया, लेकिन “मौत की गूंज” बनी रही। मैंने निर्माता से विभिन्न त्रुटि निवारण कदम उठाए, लेकिन कुछ भी मदद नहीं की।  

मैंने Toshiba कस्टमर सर्विस को कॉल किया, सब कुछ समझाया, और उन्होंने मेरी जानकारी ली लेकिन कहा कि वे एक केस खोलेंगे। चूंकि माइक्रोवेव Amazon से खरीदा गया था और 30-दिन की वापसी की खिड़की तेजी से नजदीक आ रही थी (केवल 5 दिन बाकी थे), उन्होंने मुझसे Amazon के माध्यम से इसे लौटाने को कहा। हालांकि, रिटर्न के लिए माइक्रोवेव को फिर से पैक करने की जरूरत है और इसे केवल UPS स्टोर के माध्यम से भेजा जाना चाहिए। तो अब, मुझे UPS स्टोर से माइक्रोवेव को सही तरीके से पैक करवाना है (जिसके लिए मैंने भुगतान किया है) और इसे अपनी लागत पर वापस भेजना है।  

इस कहानी का निष्कर्ष यह है: इस माइक्रोवेव को न खरीदें! एक अन्य ब्रांड खोजें और एक स्थानीय बिग-बॉक्स स्टोर से खरीदें ताकि अगर गुणवत्ता खराब हो जाती है या उत्पाद क्षतिग्रस्त हो जाता है, तो आसान रिटर्न हो सके। मेरी कहानी एक सिरदर्द के रूप में कार्य करें जो आपको नहीं चाहिए।  

सबसे निराशाजनक बात यह थी कि Toshiba कस्टमर सर्विस के साथ कॉल करने पर उन्होंने अपने दोषपूर्ण उत्पाद के साथ खड़े होने में विफलता की। वे रोबोटिक थे और समस्या को ठीक करने के लिए कुछ भी नहीं किया। एक अन्य ब्रांड के साथ जाएं।",,Old,No sarcasm ,Dissatisfied,"Video mein TOSHIBA EM131A5C-BS Microwave Oven dikhaya gaya hai, jo to chal raha hai lekin har waqt ek bohot zyada shor machata hai. Yeh noise itna distracting hai ki use karna mushkil ho gaya hai. Yeh dikhata hai ki microwave ke internal components ya motor mein koi issue hai"
